subject,session,label,PAD,PLD,SWD,SD-MD
0,1,0,0.05003766932674991,0.0234375,0.9001922302375795,1.9938285057614948
0,1,1,0.5274007178167723,0.0078125,1.614599970280876,5.263954170236885
1,1,0,0.295861598774378,0.0,0.9858785552627181,2.1311348165952935
1,1,1,1.3597112465717185,0.0,1.1911260091696778,5.193752522739931
2,1,0,0.04908318553826585,0.0,1.512122507180222,4.7928492978980275
2,1,1,0.01928019760271571,0.015625,1.9370312618709329,11.424839819591114
3,1,0,0.1740154202245372,0.0078125,1.01730762916145,1.837924075015841
3,1,1,0.43425422531103663,0.25,1.468303222964504,4.574913640607248
4,1,0,0.8173327883674579,0.640625,1.776530675900532,6.466247030014316
4,1,1,3.1569690031460347,0.0,2.140805610715936,14.812794761689378
5,1,0,0.07282848520880947,0.0,0.6388533891910951,3.301013012169204
5,1,1,0.962703659329522,0.0078125,1.2415699585574058,7.575907191373996
6,1,0,0.2071240085553383,0.0,0.4488579168139994,1.225618800607665
6,1,1,0.7260417935530956,0.0078125,0.9332315915329981,3.1107362619806294
7,1,0,0.2962350507402389,0.375,1.278990821316524,2.672596591821774
7,1,1,0.8981043369395318,0.0,1.6405677459719121,9.197655092547373
